,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
487,1880,Татьяна Репина,Чехов,1,NotStated,18,5,1,0.804016750828128,0.791868044571443,0.865800231695175,0.713199124691334,0.822007553918021,107,11,43,94,7,69.5152671755725,262,40.8396946564886,4.19847328244275,16.412213740458,35.8778625954199,2.67175572519084
488,1880,Трагик поневоле (Из дачной жизни),Чехов,1,Comedy,2,0,1,0.864680213587625,0.943684101104736,0.869466155767441,0.706970930099487,0.954411387443543,14,1,12,2,1,318.1,30,46.6666666666667,3.33333333333333,40,6.66666666666667,3.33333333333333
497,1890,Свадьба,Чехов,1,NotStated,10,3,1,0.812144651495177,0.845141603549321,0.855775576213311,0.612569728964253,0.817332327365875,87,15,29,19,4,120.084415584416,154,56.4935064935065,9.74025974025974,18.8311688311688,12.3376623376623,2.5974025974026
502,1890,Юбилей,Чехов,1,Comedy,3,2,1,0.808589302656943,0.863214042782784,0.842678219079971,0.628246840834618,0.962620282173157,57,10,41,20,5,135.15037593985,133,42.8571428571429,7.5187969924812,30.8270676691729,15.0375939849624,3.7593984962406
503,1900,Балаганчик,Блок,0,NotStated,11,4,0,0.889550871175268,0.904890696207682,0.740559283643961,0.665972513811929,,46,9,8,14,0,97.5974025974026,77,59.7402597402597,11.6883116883117,10.3896103896104,18.1818181818182,0
530,1900,Незнакомка,Блок,0,NotStated,28,4,0,0.843431049636726,0.816333725400593,0.763602152466774,0.672596789323367,0.51933990418911,116,23,24,26,2,79.717277486911,191,60.7329842931937,12.0418848167539,12.565445026178,13.6125654450262,1.04712041884817
544,1910,Актеон,Гумилёв,0,NotStated,10,5,0,0.830254463478923,0.818179033696652,0.701169051907279,0.614823746053796,0.909160047769547,48,4,11,19,2,77.5952380952381,84,57.1428571428571,4.76190476190476,13.0952380952381,22.6190476190476,2.38095238095238
552,1910,Дитя Аллаха,Гумилёв,0,NotStated,16,2,0,0.820506919021449,0.760480982065201,0.800254961175303,0.65420996524253,0.782311350107193,121,15,31,53,4,90.3705357142857,224,54.0178571428571,6.69642857142857,13.8392857142857,23.6607142857143,1.78571428571429
553,1910,Дон-Жуан в Египте,Гумилёв,0,NotStated,3,1,0,0.925139018644889,0.876880685488383,0.78905576467514,0.623789424697558,,48,9,7,12,0,92.0921052631579,76,63.1578947368421,11.8421052631579,9.21052631578947,15.7894736842105,0
584,1920,Закат,Бабель,0,NotStated,27,8,0,0.883482810803146,0.865337026119232,0.817221033832301,0.697160883744558,0.884495619270537,403,25,92,90,9,56.0807754442649,619,65.1050080775444,4.03877221324717,14.8626817447496,14.5395799676898,1.45395799676898
588,1920,Клоп,Маяковский,0,Comedy,71,12,0,0.848569925068415,0.806762661622918,0.827705326179663,0.62232925384133,0.559965461492539,171,23,60,54,2,122.474193548387,310,55.1612903225807,7.41935483870968,19.3548387096774,17.4193548387097,0.645161290322581
621,1930,Мария,Бабель,0,NotStated,14,8,0,0.888350654899338,0.838438824603432,0.840261400551409,0.62096776121429,0.918828209241231,405,19,74,56,6,82.5589285714286,560,72.3214285714286,3.39285714285714,13.2142857142857,10,1.07142857142857
