normalizedGenre,title,decade,author,numOfActs,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
Comedy,Чайка,1890,Чехов,4,60.29865244709,10.503265542328,19.6660052910053,7.83936838624339,1.69270833333333
NotStated,Ревность,1910,Арцыбашев,5,46.0174586485821,3.57881418719952,19.6597035793194,29.8395071371101,0.904516447788839
Tragedy,Ольга,1770,Княжнин,5,38.4730431789255,2.68032738620974,19.5940284175578,39.2526010173069,0
Comedy,Вздорщица,1770,Сумароков,0,57.2519083969466,2.79898218829517,19.5928753180662,20.3562340966921,0
NotStated,Каменный гость,1830,Пушкин,0,55.3435114503817,7.25190839694657,19.4656488549618,17.175572519084,0.763358778625954
Comedy,Клоп,1920,Маяковский,0,55.1612903225807,7.41935483870968,19.3548387096774,17.4193548387097,0.645161290322581
NotStated,Пучина,1860,Островский,0,61.9926199261993,4.92004920049201,19.3111931119311,11.8081180811808,1.9680196801968
NotStated,Баня,1920,Маяковский,6,67.0257914019543,6.16767371521783,19.3074089305664,7.49912595226156,0
Comedy,Хвастун,1780,Княжнин,5,59.4776006945048,4.0653540140161,19.3043580899961,16.7809069705478,0.371780230935161
Comedy,Бедность не порок,1850,Островский,3,49.9181600955795,7.04654303672537,19.1473170224923,22.5521011895486,1.33587865565425
Comedy,"Траур, или Утешенная вдова",1780,Княжнин,2,56.1439842209073,7.01019066403682,19.1354372123603,16.2853385930309,1.42504930966469
Comedy,Чудаки,1790,Княжнин,5,50.3478233918535,5.46864907763362,19.1323713879899,24.1190769794564,0.932079163066606
Comedy,Смерть Тарелкина,1860,Сухово-Кобылин,3,63.6356518795373,4.29955059505676,19.0571186714732,12.1453422332366,0.862336620696101
NotStated,Театральный разъезд после представления новой комедии,1840,Гоголь,0,69.5340501792115,5.37634408602151,18.9964157706093,5.37634408602151,0.716845878136201
NotStated,Русалка,1830,Пушкин,0,40.9836065573771,4.91803278688525,18.8524590163934,32.7868852459016,2.45901639344262
NotStated,Свадьба,1890,Чехов,1,56.4935064935065,9.74025974025974,18.8311688311688,12.3376623376623,2.5974025974026
Comedy,Урок дочкам,1800,Крылов,0,44.7432762836186,10.5134474327628,18.8264058679707,25.1833740831296,0.733496332518338
NotStated,Странный человек,1830,Лермонтов,0,48.7915407854985,6.94864048338369,18.7311178247734,23.2628398791541,2.26586102719033
NotStated,Дни Турбиных,1920,Булгаков,4,60.3441969258336,6.93863242399015,18.7252628449485,10.9649404345615,3.0269673706662
Comedy,Горячее сердце,1860,Островский,5,61.8982379216421,2.74550910786653,18.6401555800936,15.3614709363803,1.35462645401742
Comedy,Чудовищи,1750,Сумароков,3,62.3058828086359,3.59880311779323,18.4908542944146,14.7603926441056,0.844067135050742
Comedy,Богатые невесты,1870,Островский,4,66.893861951815,7.90097690269359,18.4897993087868,4.99302916651762,1.72233267018694
NotStated,Блонды,1850,Прутков,0,58.6956521739131,9.78260869565217,18.4782608695652,10.8695652173913,2.17391304347826
NotStated,Юность Ломоносова,1840,Некрасов,0,46.1538461538462,7.69230769230769,18.4615384615385,26.1538461538462,1.53846153846154
Comedy,Мистерия-буфф,1920,Маяковский,6,57.9667445068499,6.80576308074203,18.4492473705295,15.6906090641048,1.08763597777373
Comedy,Пустая ссора,1780,Сумароков,0,55.7471264367816,2.8735632183908,18.3908045977012,22.9885057471264,0
Comedy,Сговор Кутейкина,1780,Плавильщиков,0,45.7264957264957,4.27350427350427,18.3760683760684,29.9145299145299,1.70940170940171
NotStated,Грех да беда на кого не живет,1860,Островский,4,56.4220183486239,10.0917431192661,18.348623853211,15.1376146788991,0
Comedy,О время!,1770,ЕкатеринаII,3,52.2653422653423,5.11203511203511,18.3306383306383,23.4711634711635,0.820820820820821
NotStated,Сцены из рыцарских времен,1830,Пушкин,0,64.4859813084112,5.14018691588785,18.2242990654206,10.2803738317757,1.86915887850467
Comedy,Подщипа или Трумф,1800,Крылов,2,26.6414141414141,5.16578831796223,18.1543697848046,49.7859025032938,0.252525252525253
Comedy,Горе от ума,1820,Грибоедов,4,54.0489255542462,4.34958399735796,17.9355551820111,22.951295028805,0.714640237579876
Comedy,"Не любо – не слушай, а лгать не мешай",1810,Шаховской,0,60.3854389721627,4.49678800856531,17.7730192719486,16.4882226980728,0.856531049250535
Comedy,Говорун,1810,Хмельницкий,0,56.5420560747664,6.54205607476636,17.7570093457944,18.6915887850467,0.467289719626168
Comedy,Нахлебник,1850,Тургенев,2,62.8994074695993,6.62622411550558,17.6775010494877,10.0334459668706,2.76342139853691
Comedy,Шила в мешке не утаишь – девушки под замком не удержишь,1840,Некрасов,2,62.2422897117681,5.36272828170719,17.6436955571251,14.1223556317896,0.628930817610063
Comedy,Без вины виноватые,1880,Островский,4,65.5037323907829,6.72630475766875,17.57710639485,8.58436446714847,1.60849198954983
NotStated,Тяжелые дни,1860,Островский,3,66.1384335154827,5.04714454087646,17.5559841422908,10.2394728383157,1.01896496303439
Comedy,Благородный театр,1820,Загоскин,4,61.0143733006239,5.63777974537149,17.4226675431531,15.3532228030353,0.571956607816289
Comedy,Ябеда,1790,Капнист,5,63.0967871502557,5.09217357600985,17.3364561900405,11.9791438229499,2.495439260744
NotStated,Праздничный сон — до обеда,1850,Островский,0,62.3246492985972,6.01202404809619,17.2344689378758,11.0220440881764,3.40681362725451
Comedy,Последняя жертва,1870,Островский,5,67.2292309914309,6.17701745025667,17.2078040532223,8.10204196028789,1.28390554480225
NotStated,Живой труп,1900,Толстой,6,67.8586580816277,9.01547687520357,17.1636785570977,4.42232708817839,1.53985939789266
Comedy,"Неслыханное диво, или честный секретарь",1800,Судовщиков,3,54.6975808561174,3.52044553264066,17.1367360391751,22.7411296313735,1.90410794069331
Comedy,Женитьба,1840,Гоголь,2,64.0786749482402,6.54114906832298,17.0742753623188,11.3192287784679,0.986671842650104
Comedy,Тоисиоков,1780,Дашкова,5,50.7977673182005,5.76434162384621,16.9999193868683,25.1379374596583,1.30003421142662
NotStated,Трудовой хлеб,1870,Островский,4,64.8064711504008,3.73478589024814,16.9989488366191,13.1602452062843,1.29954891644773
NotStated,Война и мир,1930,Булгаков,4,59.2419775138742,8.36145794301756,16.9675540547014,12.368266034418,3.06074445398884
Comedy,Модная лавка,1800,Крылов,3,48.255880981446,4.978877943739,16.9603109932244,29.509893635912,0.295036445678584
Comedy,Бригадир,1770,Фонвизин,5,55.3288694603713,6.6199019389527,16.9339156819399,20.429855567878,0.687457350858151
Comedy,Холостяк,1840,Тургенев,3,59.737093429769,8.53959308407347,16.9288204238495,12.693821798757,2.10067126355103
NotStated,Дмитрий Самозванец и Василий Шуйский,1860,Островский,0,58.1664910432034,2.52897787144363,16.8598524762908,21.4963119072708,0.948366701791359
Comedy,Невольницы,1880,Островский,4,70.4695948855861,5.82134642562056,16.7061285557969,5.49393955344582,1.50899057955064
NotStated,Моцарт и Сальери,1830,Пушкин,0,57.1428571428571,2.38095238095238,16.6666666666667,21.4285714285714,2.38095238095238
Comedy,Окопировался,1850,Лажечников,3,42.9851869779125,8.96395902289654,16.6035213936533,29.6018568656846,1.84547573985308
Comedy,Ревизор,1830,Гоголь,5,60.9344816831681,7.33458968280211,16.5797991467765,11.2959475403008,3.85518194695255
NotStated,Не убий,1910,Андреев,5,54.7138614733797,6.45491206535404,16.4489151135574,20.9248566410963,1.45745470661261
NotStated,Татьяна Репина,1880,Чехов,1,40.8396946564886,4.19847328244275,16.412213740458,35.8778625954199,2.67175572519084
Comedy,Лес,1870,Островский,5,62.8146430320569,6.61553126705376,16.4113101963539,12.2549297189273,1.90358578560818
NotStated,Не от мира сего,1880,Островский,3,68.1875273937253,7.97042644736126,16.3358023346586,5.61128962958929,1.89495419466554
NotStated,Батум,1930,Булгаков,4,72.8026439982335,3.53512853267908,16.1779263644563,5.71723570431753,1.76706540031362
Comedy,Бешеные деньги,1870,Островский,5,65.5755759696785,8.08696589850749,15.9764109079293,8.98645576232909,1.37459146155557
NotStated,Тяжба,1840,Гоголь,0,69.5652173913043,5.79710144927536,15.9420289855072,7.2463768115942,1.44927536231884
Comedy,Месяц в деревне,1850,Тургенев,5,68.8368833848082,6.09085275649043,15.862847122918,7.3636069685733,1.84580976721011
